"","Penalty","Total","Yds","Pen/G","Yds/G","year"
"593","Illegal Touch Pass",9,45,0.04,0.18,2006
"594","Defensive Delay of Game",9,43,0.04,0.17,2006
"595","Illegal Forward Pass",8,40,0.03,0.16,2006
"596","Ineligible Downfield Pas",8,40,0.03,0.16,2006
"597","Roughing the Kicker",7,105,0.03,0.41,2006
"598","Illegal Touch Kick",7,25,0.03,0.1,2006
"599","Interference with Opport",5,75,0.02,0.29,2006
"600","Low Block",4,55,0.02,0.21,2006
"601","Invalid Fair Catch Signa",4,20,0.02,0.08,2006
"602","Player Out of Bounds on",3,15,0.01,0.06,2006
"603","Clipping",3,41,0.01,0.16,2006
"604","Offensive Offside",2,10,0.01,0.04,2006
"605","Disqualification",2,30,0.01,0.12,2006
"606","Offensive Pass Interference",1,10,0,0.04,2006
"607","Kickoff Out of Bounds",1,5,0,0.02,2006
"608","Short Free Kick",1,5,0,0.02,2006
"609","False Start",736,3639,2.88,14.21,2007
"610","Offensive Holding",494,4732,1.93,18.48,2007
"611","Defensive Offside",213,1034,0.83,4.04,2007
"612","Delay of Game",165,804,0.64,3.14,2007
"613","Defensive Pass Interference",147,2494,0.57,9.74,2007
"614","Unnecessary Roughness",127,1697,0.5,6.63,2007
"615","Illegal Block Above the Waist",101,918,0.39,3.59,2007
"616","Face Mask (15 Yards)",82,1074,0.32,4.2,2007
"617","Defensive Holding",82,417,0.32,1.63,2007
"618","Illegal Contact",79,395,0.31,1.54,2007
"619","Encroachment",71,340,0.28,1.33,2007
"620","Roughing the Passer",59,766,0.23,2.99,2007
"621","Personal Foul",51,708,0.2,2.77,2007
"622","Offensive Pass Interfere",50,486,0.2,1.9,2007
"623","Illegal Formation",48,232,0.19,0.91,2007
"624","Neutral Zone Infraction",44,218,0.17,0.85,2007
"625","Intentional Grounding",41,453,0.16,1.77,2007
"626","Unsportsmanlike Conduct",39,516,0.15,2.02,2007
"627","Defensive 12 On-field",32,147,0.13,0.57,2007
"628","Face Mask (5 Yards)",29,155,0.11,0.61,2007
"629","Illegal Shift",26,131,0.1,0.51,2007
"630","Ineligible Downfield Pas",23,114,0.09,0.45,2007
"631","Illegal Use of Hands",20,132,0.08,0.52,2007
"632","Ineligible Downfield Kic",18,89,0.07,0.35,2007
"633","Taunting",17,220,0.07,0.86,2007
"634","Illegal Substitution",16,82,0.06,0.32,2007
"635","Offside on Free Kick",15,75,0.06,0.29,2007
"636","Illegal Motion",13,65,0.05,0.25,2007
"637","Chop Block",8,112,0.03,0.44,2007
"638","Low Block",8,115,0.03,0.45,2007
"639","Fair Catch Interference",7,105,0.03,0.41,2007
"640","Roughing the Kicker",6,91,0.02,0.36,2007
"641","Illegal Touch Kick",6,25,0.02,0.1,2007
"642","Illegal Forward Pass",5,25,0.02,0.1,2007
"643","Player Out of Bounds on",5,25,0.02,0.1,2007
"644","Running Into the Kicker",5,25,0.02,0.1,2007
"645","Interference with Opport",4,64,0.02,0.25,2007
"646","Tripping",4,40,0.02,0.16,2007
"647","Clipping",3,43,0.01,0.17,2007
"648","Defensive Delay of Game",3,15,0.01,0.06,2007
"649","Illegal Touch Pass",3,15,0.01,0.06,2007
"650","Illegal Crackback",3,42,0.01,0.16,2007
"651","Offensive 12 On-field",2,10,0.01,0.04,2007
"652","Disqualification",2,18,0.01,0.07,2007
"653","Leverage",2,24,0.01,0.09,2007
"654","Ineligible Downfield Pass",2,10,0.01,0.04,2007
"655","Illegal Procedure",2,10,0.01,0.04,2007
"656","Invalid Fair Catch Signa",2,8,0.01,0.03,2007
"657","Illegal Bat",2,20,0.01,0.08,2007
"658","Offensive Offside",2,10,0.01,0.04,2007
"659","Offensive Pass Interference",1,10,0,0.04,2007
"660","False Start",647,3158,2.53,12.34,2008
"661","Offensive Holding",485,4647,1.89,18.15,2008
"662","Defensive Offside",230,1125,0.9,4.39,2008
"663","Unnecessary Roughness",170,2342,0.66,9.15,2008
"664","Defensive Pass Interference",156,2534,0.61,9.9,2008
"665","Delay of Game",137,678,0.54,2.65,2008
"666","Illegal Block Above the Waist",116,1073,0.45,4.19,2008
"667","Defensive Holding",112,508,0.44,1.98,2008
"668","Face Mask (15 Yards)",85,1134,0.33,4.43,2008
"669","Encroachment",72,342,0.28,1.34,2008
"670","Illegal Contact",72,359,0.28,1.4,2008
"671","Offensive Pass Interfere",63,611,0.25,2.39,2008
"672","Illegal Formation",60,295,0.23,1.15,2008
"673","Roughing the Passer",58,797,0.23,3.11,2008
"674","Neutral Zone Infraction",51,230,0.2,0.9,2008
"675","Unsportsmanlike Conduct",35,476,0.14,1.86,2008
"676","Intentional Grounding",33,349,0.13,1.36,2008
"677","Illegal Use of Hands",29,185,0.11,0.72,2008
"678","Personal Foul",27,338,0.11,1.32,2008
"679","Ineligible Downfield Pas",23,115,0.09,0.45,2008
"680","Defensive 12 On-field",23,97,0.09,0.38,2008
"681","Offside on Free Kick",21,105,0.08,0.41,2008
"682","Illegal Shift",15,75,0.06,0.29,2008
"683","Tripping",13,130,0.05,0.51,2008
"684","Taunting",13,195,0.05,0.76,2008
"685","Ineligible Downfield Kic",12,59,0.05,0.23,2008
"686","Illegal Substitution",12,60,0.05,0.23,2008
"687","Illegal Motion",12,60,0.05,0.23,2008
"688","Chop Block",11,157,0.04,0.61,2008
"689","Illegal Touch Kick",10,20,0.04,0.08,2008
"690","Low Block",10,134,0.04,0.52,2008
"691","Illegal Forward Pass",9,28,0.04,0.11,2008
"692","Running Into the Kicker",8,37,0.03,0.14,2008
"693","Player Out of Bounds on",6,30,0.02,0.12,2008
"694","Defensive Delay of Game",4,20,0.02,0.08,2008
"695","Fair Catch Interference",4,60,0.02,0.23,2008
"696","Illegal Touch Pass",3,15,0.01,0.06,2008
"697","Roughing the Kicker",3,45,0.01,0.18,2008
"698","Short Free Kick",2,10,0.01,0.04,2008
"699","Leverage",2,30,0.01,0.12,2008
"700","Disqualification",2,30,0.01,0.12,2008
"701","Invalid Fair Catch Signa",2,10,0.01,0.04,2008
"702","Clipping",2,30,0.01,0.12,2008
"703","Interference with Opport",1,15,0,0.06,2008
"704","Offensive Pass Interference",1,10,0,0.04,2008
"705","Kickoff Out of Bounds",1,5,0,0.02,2008
"706","Illegal Kick",1,0,0,0,2008
"707","Illegal Crackback",1,15,0,0.06,2008
"708","False Start",652,3185,2.55,12.44,2009
"709","Offensive Holding",542,5201,2.12,20.32,2009
"710","Defensive Offside",205,990,0.8,3.87,2009
"711","Defensive Pass Interference",177,3028,0.69,11.83,2009
"712","Unnecessary Roughness",153,2086,0.6,8.15,2009
"713","Delay of Game",133,652,0.52,2.55,2009
"714","Illegal Block Above the Waist",126,1175,0.49,4.59,2009
"715","Face Mask (15 Yards)",101,1450,0.39,5.66,2009
"716","Defensive Holding",101,489,0.39,1.91,2009
"717","Illegal Contact",85,430,0.33,1.68,2009
"718","Offensive Pass Interfere",72,717,0.28,2.8,2009
"719","Roughing the Passer",67,866,0.26,3.38,2009
"720","Neutral Zone Infraction",57,270,0.22,1.05,2009
"721","Illegal Formation",56,284,0.22,1.11,2009
"722","Encroachment",52,256,0.2,1,2009
"723","Personal Foul",41,496,0.16,1.94,2009
"724","Unsportsmanlike Conduct",38,528,0.15,2.06,2009
"725","Illegal Use of Hands",38,232,0.15,0.91,2009
"726","Intentional Grounding",35,402,0.14,1.57,2009
"727","Defensive 12 On-field",29,136,0.11,0.53,2009
"728","Ineligible Downfield Pas",27,135,0.11,0.53,2009
"729","Illegal Shift",22,99,0.09,0.39,2009
"730","Horse Collar",21,283,0.08,1.11,2009
"731","Ineligible Downfield Kic",21,105,0.08,0.41,2009
"732","Tripping",18,175,0.07,0.68,2009
"733","Illegal Substitution",18,90,0.07,0.35,2009
"734","Offside on Free Kick",15,77,0.06,0.3,2009
"735","Chop Block",13,191,0.05,0.75,2009
"736","Illegal Touch Kick",12,45,0.05,0.18,2009
"737","Running Into the Kicker",11,55,0.04,0.21,2009
"738","Illegal Forward Pass",11,50,0.04,0.2,2009
"739","Illegal Motion",10,51,0.04,0.2,2009
"740","Low Block",10,123,0.04,0.48,2009
"741","Taunting",10,144,0.04,0.56,2009
"742","Illegal Touch Pass",7,35,0.03,0.14,2009
"743","Defensive Delay of Game",7,35,0.03,0.14,2009
"744","Disqualification",6,80,0.02,0.31,2009
"745","Player Out of Bounds on",6,30,0.02,0.12,2009
"746","Fair Catch Interference",4,60,0.02,0.23,2009
"747","Offensive 12 On-field",4,18,0.02,0.07,2009
"748","Offensive Pass Interference",3,29,0.01,0.11,2009
"749","Invalid Fair Catch Signa",2,10,0.01,0.04,2009
"750","Clipping",2,30,0.01,0.12,2009
"751","Offensive Offside",2,10,0.01,0.04,2009
"752","Illegal Crackback",2,30,0.01,0.12,2009
"753","Interference with Opport",2,30,0.01,0.12,2009
"754","Illegal Kick",1,10,0,0.04,2009
"755","Roughing the Kicker",1,15,0,0.06,2009
"756","Illegal Receiver Pass",1,5,0,0.02,2009
"757","False Start",643,3146,2.51,12.29,2010
"758","Offensive Holding",607,5853,2.37,22.86,2010
"759","Defensive Offside",209,1026,0.82,4.01,2010
"760","Defensive Pass Interference",194,3519,0.76,13.75,2010
"761","Unnecessary Roughness",166,2279,0.65,8.9,2010
"762","Delay of Game",137,658,0.54,2.57,2010
"763","Illegal Block Above the Waist",111,1023,0.43,4,2010
"764","Defensive Holding",100,469,0.39,1.83,2010
"765","Roughing the Passer",86,1188,0.34,4.64,2010
"766","Encroachment",77,376,0.3,1.47,2010
"767","Face Mask (15 Yards)",76,1039,0.3,4.06,2010
"768","Neutral Zone Infraction",72,349,0.28,1.36,2010
"769","Illegal Contact",68,321,0.27,1.25,2010
"770","Offensive Pass Interfere",67,658,0.26,2.57,2010
"771","Illegal Formation",62,304,0.24,1.19,2010
"772","Intentional Grounding",44,500,0.17,1.95,2010
"773","Unsportsmanlike Conduct",43,611,0.17,2.39,2010
"774","Personal Foul",39,535,0.15,2.09,2010
"775","Illegal Use of Hands",39,260,0.15,1.02,2010
"776","Offside on Free Kick",26,130,0.1,0.51,2010
"777","Horse Collar Tackle",23,274,0.09,1.07,2010
"778","Defensive 12 On-field",23,102,0.09,0.4,2010
"779","Illegal Shift",19,95,0.07,0.37,2010
"780","Chop Block",17,224,0.07,0.88,2010
"781","Illegal Motion",15,75,0.06,0.29,2010
"782","Illegal Touch Kick",13,40,0.05,0.16,2010
"783","Ineligible Downfield Kic",11,50,0.04,0.2,2010
"784","Illegal Substitution",9,45,0.04,0.18,2010
"785","Tripping",9,88,0.04,0.34,2010
"786","Illegal Touch Pass",9,46,0.04,0.18,2010
"787","Taunting",8,115,0.03,0.45,2010
"788","Offensive 12 On-field",7,31,0.03,0.12,2010
"789","Ineligible Downfield Pas",7,35,0.03,0.14,2010
"790","Illegal Forward Pass",7,10,0.03,0.04,2010
"791","Running Into the Kicker",7,35,0.03,0.14,2010
"792","Low Block",6,90,0.02,0.35,2010
"793","Illegal Crackback",5,75,0.02,0.29,2010
"794","Player Out of Bounds on",5,25,0.02,0.1,2010
"795","Illegal Wedge",5,41,0.02,0.16,2010
"796","Clipping",4,56,0.02,0.22,2010
"797","Offensive Pass Interference",3,30,0.01,0.12,2010
"798","Fair Catch Interference",3,45,0.01,0.18,2010
"799","Roughing the Kicker",3,32,0.01,0.13,2010
"800","Illegal Bat",3,30,0.01,0.12,2010
"801","Disqualification",3,45,0.01,0.18,2010
"802","Leverage",2,13,0.01,0.05,2010
"803","Illegal Peelback",1,7,0,0.03,2010
"804","Illegal Blindside Block",1,0,0,0,2010
"805","Interference with Opport",1,15,0,0.06,2010
"806","Illegal Kick",1,10,0,0.04,2010
"807","Ineligible Downfield Kick",1,5,0,0.02,2010
"808","False Start",652,3204,2.55,12.52,2011
"809","Offensive Holding",601,5715,2.35,22.32,2011
"810","Defensive Pass Interference",205,3472,0.8,13.56,2011
"811","Unnecessary Roughness",188,2571,0.73,10.04,2011
"812","Defensive Offside",158,770,0.62,3.01,2011
"813","Delay of Game",127,627,0.5,2.45,2011
"814","Defensive Holding",126,591,0.49,2.31,2011
"815","Neutral Zone Infraction",120,586,0.47,2.29,2011
"816","Illegal Block Above the Waist",113,1021,0.44,3.99,2011
"817","Face Mask (15 Yards)",102,1387,0.4,5.42,2011
"818","Roughing the Passer",99,1361,0.39,5.32,2011
"819","Illegal Use of Hands",74,505,0.29,1.97,2011
"820","Encroachment",69,328,0.27,1.28,2011
"821","Illegal Contact",68,338,0.27,1.32,2011
"822","Offensive Pass Interfere",68,672,0.27,2.63,2011
"823","Personal Foul",59,717,0.23,2.8,2011
"824","Unsportsmanlike Conduct",58,789,0.23,3.08,2011
"825","Illegal Formation",48,240,0.19,0.94,2011
"826","Intentional Grounding",41,451,0.16,1.76,2011
"827","Defensive 12 On-field",28,131,0.11,0.51,2011
"828","Horse Collar Tackle",28,338,0.11,1.32,2011
"829","Offside on Free Kick",27,135,0.11,0.53,2011
"830","Illegal Shift",25,125,0.1,0.49,2011
"831","Ineligible Downfield Kic",19,95,0.07,0.37,2011
"832","Illegal Substitution",18,90,0.07,0.35,2011
"833","Chop Block",15,204,0.06,0.8,2011
"834","Taunting",13,170,0.05,0.66,2011
"835","Illegal Motion",13,65,0.05,0.25,2011
"836","Player Out of Bounds on",12,60,0.05,0.23,2011
"837","Ineligible Downfield Pas",10,50,0.04,0.2,2011
"838","Illegal Touch Pass",8,40,0.03,0.16,2011
"839","Running Into the Kicker",8,40,0.03,0.16,2011
"840","Tripping",8,80,0.03,0.31,2011
"841","Fair Catch Interference",8,117,0.03,0.46,2011
"842","Roughing the Kicker",7,91,0.03,0.36,2011
"843","Disqualification",7,67,0.03,0.26,2011
"844","Offensive 12 On-field",7,30,0.03,0.12,2011
"845","Illegal Forward Pass",7,29,0.03,0.11,2011
"846","Illegal Crackback",6,90,0.02,0.35,2011
"847","Clipping",6,79,0.02,0.31,2011
"848","Illegal Touch Kick",5,15,0.02,0.06,2011
"849","Low Block",5,60,0.02,0.23,2011
"850","Interference with Opport",4,60,0.02,0.23,2011
"851","Leverage",3,31,0.01,0.12,2011
"852","Invalid Fair Catch Signa",2,10,0.01,0.04,2011
"853","Leaping",2,16,0.01,0.06,2011
"854","Offensive Offside",2,10,0.01,0.04,2011
"855","Illegal Blindside Block",1,9,0,0.04,2011
"856","Illegal Peelback",1,15,0,0.06,2011
"857","Player Out of Bounds on Punt",1,5,0,0.02,2011
"858","Illegal Bat",1,10,0,0.04,2011
"859","Defensive Delay of Game",1,5,0,0.02,2011
"860","Offensive Holding",629,5992,2.46,23.41,2012
"861","False Start",603,2954,2.36,11.54,2012
"862","Defensive Pass Interference",243,4027,0.95,15.73,2012
"863","Unnecessary Roughness",170,2342,0.66,9.15,2012
"864","Defensive Offside",170,824,0.66,3.22,2012
"865","Defensive Holding",147,717,0.57,2.8,2012
"866","Delay of Game",125,617,0.49,2.41,2012
"867","Neutral Zone Infraction",117,566,0.46,2.21,2012
"868","Illegal Block Above the Waist",110,1004,0.43,3.92,2012
"869","Roughing the Passer",88,1182,0.34,4.62,2012
"870","Illegal Use of Hands",79,508,0.31,1.98,2012
"871","Personal Foul",78,1073,0.3,4.19,2012
"872","Face Mask (15 Yards)",75,939,0.29,3.67,2012
"873","Offensive Pass Interfere",75,729,0.29,2.85,2012
"874","Encroachment",67,323,0.26,1.26,2012
"875","Illegal Contact",65,333,0.25,1.3,2012
"876","Unsportsmanlike Conduct",46,622,0.18,2.43,2012
"877","Illegal Formation",41,205,0.16,0.8,2012
"878","Defensive 12 On-field",33,155,0.13,0.61,2012
"879","Intentional Grounding",28,337,0.11,1.32,2012
"880","Horse Collar Tackle",24,324,0.09,1.27,2012
"881","Illegal Shift",19,94,0.07,0.37,2012
"882","Illegal Motion",17,83,0.07,0.32,2012
"883","Offside on Free Kick",17,85,0.07,0.33,2012
"884","Player Out of Bounds on",16,80,0.06,0.31,2012
"885","Illegal Substitution",13,58,0.05,0.23,2012
"886","Offensive 12 On-field",8,40,0.03,0.16,2012
"887","Chop Block",7,90,0.03,0.35,2012
"888","Illegal Touch Kick",7,25,0.03,0.1,2012
"889","Illegal Forward Pass",7,31,0.03,0.12,2012
"890","Low Block",7,83,0.03,0.32,2012
"891","Roughing the Kicker",7,105,0.03,0.41,2012
"892","Illegal Touch Pass",7,30,0.03,0.12,2012
"893","Tripping",6,47,0.02,0.18,2012
"894","Fair Catch Interference",6,90,0.02,0.35,2012
"895","Ineligible Downfield Kic",5,25,0.02,0.1,2012
"896","Ineligible Downfield Pas",5,25,0.02,0.1,2012
"897","Clipping",5,63,0.02,0.25,2012
"898","Taunting",5,75,0.02,0.29,2012
"899","Defensive Delay of Game",5,24,0.02,0.09,2012
"900","Running Into the Kicker",5,25,0.02,0.1,2012
"901","Illegal Blindside Block",5,66,0.02,0.26,2012
"902","Offensive Offside",4,20,0.02,0.08,2012
"903","Interference with Opport",4,60,0.02,0.23,2012
"904","Illegal Crackback",3,29,0.01,0.11,2012
"905","Disqualification",2,35,0.01,0.14,2012
"906","Illegal Wedge",2,12,0.01,0.05,2012
"907","Kickoff Out of Bounds",2,5,0.01,0.02,2012
"908","Player Out of Bounds on Punt",1,5,0,0.02,2012
"909","Invalid Fair Catch Signa",1,5,0,0.02,2012
"910","Leaping",1,10,0,0.04,2012
"911","Illegal Bat",1,10,0,0.04,2012
"912","Offensive Pass Interference",1,10,0,0.04,2012
"913","Offensive Holding",565,5321,2.21,20.79,2013
"914","False Start",518,2519,2.02,9.84,2013
"915","Defensive Pass Interference",240,4044,0.94,15.8,2013
"916","Unnecessary Roughness",224,2989,0.88,11.68,2013
"917","Defensive Holding",171,827,0.67,3.23,2013
"918","Defensive Offside",151,715,0.59,2.79,2013
"919","Delay of Game",142,694,0.55,2.71,2013
"920","Neutral Zone Infraction",121,592,0.47,2.31,2013
"921","Illegal Block Above the Waist",96,874,0.38,3.41,2013
"922","Roughing the Passer",89,1183,0.35,4.62,2013
"923","Face Mask (15 Yards)",85,1161,0.33,4.54,2013
"924","Illegal Use of Hands",73,517,0.29,2.02,2013
"925","Personal Foul",72,963,0.28,3.76,2013
"926","Offensive Pass Interfere",60,573,0.23,2.24,2013
"927","Encroachment",60,289,0.23,1.13,2013
"928","Illegal Formation",59,291,0.23,1.14,2013
"929","Unsportsmanlike Conduct",55,694,0.21,2.71,2013
"930","Intentional Grounding",38,469,0.15,1.83,2013
"931","Illegal Contact",37,180,0.14,0.7,2013
"932","Horse Collar Tackle",30,407,0.12,1.59,2013
"933","Defensive 12 On-field",29,145,0.11,0.57,2013
"934","Taunting",28,335,0.11,1.31,2013
"935","Illegal Shift",26,130,0.1,0.51,2013
"936","Player Out of Bounds on",15,77,0.06,0.3,2013
"937","Illegal Touch Kick",13,25,0.05,0.1,2013
"938","Offside on Free Kick",12,60,0.05,0.23,2013
"939","Illegal Substitution",11,55,0.04,0.21,2013
"940","Illegal Motion",10,50,0.04,0.2,2013
"941","Illegal Forward Pass",9,30,0.04,0.12,2013
"942","Running Into the Kicker",9,45,0.04,0.18,2013
"943","Fair Catch Interference",9,120,0.04,0.47,2013
"944","Ineligible Downfield Pas",9,45,0.04,0.18,2013
"945","Ineligible Downfield Kic",8,40,0.03,0.16,2013
"946","Offensive 12 On-field",7,35,0.03,0.14,2013
"947","Tripping",6,60,0.02,0.23,2013
"948","Disqualification",6,53,0.02,0.21,2013
"949","Low Block",5,69,0.02,0.27,2013
"950","Clipping",5,75,0.02,0.29,2013
"951","Illegal Touch Pass",4,21,0.02,0.08,2013
"952","Offensive Offside",4,20,0.02,0.08,2013
"953","Chop Block",3,41,0.01,0.16,2013
"954","Interference with Opport",3,45,0.01,0.18,2013
"955","Roughing the Kicker",3,45,0.01,0.18,2013
"956","Illegal Blindside Block",2,21,0.01,0.08,2013
"957","Defensive Delay of Game",2,10,0.01,0.04,2013
"958","Illegal Bat",2,13,0.01,0.05,2013
"959","Illegal Formation, super",1,15,0,0.06,2013
"960","Illegal Kick",1,0,0,0,2013
"961","Illegal Cut",1,15,0,0.06,2013
"962","Offensive Pass Interference",1,10,0,0.04,2013
"963","Invalid Fair Catch Signa",1,1,0,0,2013
"964","Illegally Kicking Ball",1,10,0,0.04,2013
"965","Illegal Peelback",1,15,0,0.06,2013
"966","Offensive Holding",629,6020,2.46,23.52,2014
"967","False Start",588,2851,2.3,11.14,2014
"968","Defensive Holding",216,1054,0.84,4.12,2014
"969","Unnecessary Roughness",207,2715,0.81,10.61,2014
"970","Defensive Pass Interference",206,3776,0.8,14.75,2014
"971","Illegal Use of Hands",164,1094,0.64,4.27,2014
"972","Delay of Game",140,681,0.55,2.66,2014
"973","Defensive Offside",130,607,0.51,2.37,2014
"974","Neutral Zone Infraction",119,584,0.46,2.28,2014
"975","Illegal Block Above the Waist",114,1050,0.45,4.1,2014
"976","Offensive Pass Interference",102,994,0.4,3.88,2014
"977","Illegal Contact",102,508,0.4,1.98,2014
"978","Roughing the Passer",99,1323,0.39,5.17,2014
"979","Face Mask (15 Yards)",90,1160,0.35,4.53,2014
"980","Unsportsmanlike Conduct",65,912,0.25,3.56,2014
"981","Encroachment",59,274,0.23,1.07,2014
"982","Illegal Formation",41,205,0.16,0.8,2014
"983","Defensive 12 On-field",31,125,0.12,0.49,2014
"984","Intentional Grounding",30,340,0.12,1.33,2014
"985","Offside on Free Kick",27,135,0.11,0.53,2014
"986","Taunting",24,344,0.09,1.34,2014
"987","Ineligible Downfield Pass",24,120,0.09,0.47,2014
"988","Illegal Shift",17,85,0.07,0.33,2014
"989","Horse Collar Tackle",17,192,0.07,0.75,2014
"990","Illegal Substitution",14,70,0.05,0.27,2014
"991","Offensive 12 On-field",12,60,0.05,0.23,2014
"992","Illegal Blindside Block",11,135,0.04,0.53,2014
"993","Illegal Motion",11,55,0.04,0.21,2014
"994","Tripping",10,100,0.04,0.39,2014
"995","Clipping",9,118,0.04,0.46,2014
"996","Player Out of Bounds on Punt",8,40,0.03,0.16,2014
"997","Chop Block",7,104,0.03,0.41,2014
"998","Illegal Forward Pass",7,35,0.03,0.14,2014
"999","Roughing the Kicker",6,90,0.02,0.35,2014
"1000","Disqualification",6,68,0.02,0.27,2014
"1001","Ineligible Downfield Kick",6,30,0.02,0.12,2014
"1002","Low Block",6,80,0.02,0.31,2014
"1003","Interference with Opportunity to",5,75,0.02,0.29,2014
"1004","Illegal Touch Pass",4,20,0.02,0.08,2014
"1005","Running Into the Kicker",4,20,0.02,0.08,2014
"1006","Offensive Offside",4,20,0.02,0.08,2014
"1007","Illegal Touch Kick",3,15,0.01,0.06,2014
"1008","Invalid Fair Catch Signal",3,15,0.01,0.06,2014
"1009","Personal Foul",3,40,0.01,0.16,2014
"1010","Fair Catch Interference",3,45,0.01,0.18,2014
"1011","Defensive Delay of Game",1,5,0,0.02,2014
"1012","Illegal Wedge",1,5,0,0.02,2014
"1013","Offensive Holding",709,6755,2.77,26.39,2015
"1014","False Start",566,2758,2.21,10.77,2015
"1015","Defensive Pass Interference",231,4121,0.9,16.1,2015
"1016","Unnecessary Roughness",227,3044,0.89,11.89,2015
"1017","Defensive Holding",220,1054,0.86,4.12,2015
"1018","Defensive Offside",177,831,0.69,3.25,2015
"1019","Neutral Zone Infraction",152,738,0.59,2.88,2015
"1020","Delay of Game",143,691,0.56,2.7,2015
"1021","Illegal Block Above the Waist",124,1130,0.48,4.41,2015
"1022","Illegal Use of Hands",116,728,0.45,2.84,2015
"1023","Offensive Pass Interference",103,1002,0.4,3.91,2015
"1024","Roughing the Passer",100,1350,0.39,5.27,2015
"1025","Face Mask (15 Yards)",98,1334,0.38,5.21,2015
"1026","Unsportsmanlike Conduct",77,1012,0.3,3.95,2015
"1027","Illegal Formation",59,286,0.23,1.12,2015
"1028","Illegal Contact",59,297,0.23,1.16,2015
"1029","Defensive 12 On-field",50,228,0.2,0.89,2015
"1030","Encroachment",41,193,0.16,0.75,2015
"1031","Intentional Grounding",34,386,0.13,1.51,2015
"1032","Illegal Shift",32,160,0.13,0.63,2015
"1033","Taunting",22,323,0.09,1.26,2015
"1034","Ineligible Downfield Pass",18,76,0.07,0.3,2015
"1035","Chop Block",15,222,0.06,0.87,2015
"1036","Offside on Free Kick",15,75,0.06,0.29,2015
"1037","Horse Collar Tackle",13,164,0.05,0.64,2015
"1038","Running Into the Kicker",13,65,0.05,0.25,2015
"1039","Player Out of Bounds on Punt",13,75,0.05,0.29,2015
"1040","Tripping",11,94,0.04,0.37,2015
"1041","Illegal Forward Pass",11,30,0.04,0.12,2015
"1042","Illegal Motion",10,50,0.04,0.2,2015
"1043","Clipping",9,122,0.04,0.48,2015
"1044","Illegal Substitution",8,41,0.03,0.16,2015
"1045","Illegal Blindside Block",8,100,0.03,0.39,2015
"1046","Offensive 12 On-field",7,35,0.03,0.14,2015
"1047","Ineligible Downfield Kick",7,35,0.03,0.14,2015
"1048","Illegal Touch Pass",6,30,0.02,0.12,2015
"1049","Fair Catch Interference",6,90,0.02,0.35,2015
"1050","Defensive Delay of Game",4,20,0.02,0.08,2015
"1051","Offensive Offside",4,20,0.02,0.08,2015
"1052","Leaping",4,51,0.02,0.2,2015
"1053","Low Block",4,54,0.02,0.21,2015
"1054","Illegal Crackback",3,45,0.01,0.18,2015
"1055","Disqualification",3,45,0.01,0.18,2015
"1056","Illegal Touch Kick",2,5,0.01,0.02,2015
"1057","Roughing the Kicker",2,30,0.01,0.12,2015
"1058","Illegal Peelback",2,30,0.01,0.12,2015
"1059","Invalid Fair Catch Signal",2,10,0.01,0.04,2015
"1060","Interference with Opportunity to",2,30,0.01,0.12,2015
"1061","Leverage",1,5,0,0.02,2015
"1062","Offensive Holding",703,6698,2.75,26.16,2016
"1063","False Start",588,2909,2.3,11.36,2016
"1064","Defensive Pass Interference",279,4589,1.09,17.93,2016
"1065","Defensive Holding",207,951,0.81,3.71,2016
"1066","Unnecessary Roughness",193,2655,0.75,10.37,2016
"1067","Defensive Offside",167,793,0.65,3.1,2016
"1068","Delay of Game",140,693,0.55,2.71,2016
"1069","Illegal Block Above the Waist",121,1133,0.47,4.43,2016
"1070","Neutral Zone Infraction",116,572,0.45,2.23,2016
"1071","Face Mask (15 Yards)",100,1373,0.39,5.36,2016
"1072","Illegal Use of Hands",89,601,0.35,2.35,2016
"1073","Offensive Pass Interference",88,867,0.34,3.39,2016
"1074","Roughing the Passer",85,1156,0.33,4.52,2016
"1075","Unsportsmanlike Conduct",77,1073,0.3,4.19,2016
"1076","Illegal Formation",66,330,0.26,1.29,2016
"1077","Encroachment",47,221,0.18,0.86,2016
"1078","Illegal Contact",47,233,0.18,0.91,2016
"1079","Defensive 12 On-field",46,199,0.18,0.78,2016
"1080","Illegal Shift",33,165,0.13,0.64,2016
"1081","Taunting",29,432,0.11,1.69,2016
"1082","Intentional Grounding",28,317,0.11,1.24,2016
"1083","Offside on Free Kick",23,115,0.09,0.45,2016
"1084","Ineligible Downfield Pass",20,100,0.08,0.39,2016
"1085","Horse Collar Tackle",20,261,0.08,1.02,2016
"1086","Leverage",12,166,0.05,0.65,2016
"1087","Roughing the Kicker",12,157,0.05,0.61,2016
"1088","Illegal Motion",11,53,0.04,0.21,2016
"1089","Chop Block",9,131,0.04,0.51,2016
"1090","Interference with Opportunity to",8,120,0.03,0.47,2016
"1091","Disqualification",8,117,0.03,0.46,2016
"1092","Offensive 12 On-field",7,35,0.03,0.14,2016
"1093","Running Into the Kicker",7,34,0.03,0.13,2016
"1094","Illegal Forward Pass",7,10,0.03,0.04,2016
"1095","Illegal Touch Kick",6,25,0.02,0.1,2016
"1096","Illegal Substitution",6,29,0.02,0.11,2016
"1097","Player Out of Bounds on Punt",6,37,0.02,0.14,2016
"1098","Clipping",5,65,0.02,0.25,2016
"1099","Fair Catch Interference",5,75,0.02,0.29,2016
